POSTCODE,POST4,BUURTCODE,BUURTNAAM,WIJKCODE,WIJKNAAM,STADSDEELCODE,STADSDEELNAAM
5621CW,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621CX,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621EA,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621EB,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621EC,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621ED,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621EE,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621EG,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621EH,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621EJ,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621EK,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621EL,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621EM,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621EN,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621EP,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621ER,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621ES,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621ET,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621EV,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621GA,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621GB,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621GC,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621GD,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621GE,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621GG,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621GH,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621GJ,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621GK,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621GL,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621GM,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621GR,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621GS,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621GT,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621GW,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621GX,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621HA,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621HB,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621HE,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621HG,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621HH,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621HJ,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621HK,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621HL,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621HM,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621HN,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621HR,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621HS,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621HT,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621HV,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621JA,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621JB,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621JC,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621JD,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5621JE,5621,421,Woensel-West,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622AA,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622AB,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622AC,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622AD,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622AE,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622AG,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622AH,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622AJ,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622AK,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622AL,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622AM,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622AN,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622AP,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622AR,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622AS,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622AT,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622AV,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622AW,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622AX,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622AZ,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622BA,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622BB,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622BC,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622BD,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622BE,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622BG,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622BH,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622BJ,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622BK,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622BL,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622BM,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622BN,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622BP,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622BR,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622BS,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622BT,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622BV,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622CA,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622CB,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622CC,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622CD,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622CE,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622CG,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622CH,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622CJ,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622CK,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622CL,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622CL,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622CL,5622,,,,,,
5622CM,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622CN,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622CP,5622,,,,,,
5622CP,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622CP,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622CR,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622CS,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622CT,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622CV,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622CW,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622CX,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622CZ,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622DA,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622DB,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622DC,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622DD,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622DE,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622EA,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622EB,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622EC,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622ED,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622EE,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622EG,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622EH,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622EJ,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622EK,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622EL,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622EM,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622EN,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622EP,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622ER,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622GA,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622GB,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622GC,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622GD,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622GD,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622GD,5622,,,,,,
5622GE,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622GG,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622GH,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622GJ,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622GK,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622GL,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622GM,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622GN,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622GP,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622GR,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622GS,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622GT,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622GV,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622GW,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622GX,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622GZ,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622HA,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622HB,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622HC,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622HD,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622HE,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622HG,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622HH,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622HJ,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622HK,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622HL,5622,,,,,,
5622HL,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622HL,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622HM,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622HN,5622,,,,,,
5622HN,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622HN,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622HP,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622HT,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622HV,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622HW,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622HX,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622HZ,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622JA,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622JB,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622JC,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622JD,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622JE,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622JG,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622JH,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622JJ,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622JK,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622JL,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622JM,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622JN,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622JP,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622JR,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622JS,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622JT,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622JV,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622JW,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622JX,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622KA,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622KB,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622KC,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622KD,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622KE,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622KG,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622KH,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622KJ,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622KK,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622KL,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622KM,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622KN,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622KP,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622KR,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622KS,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622KT,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622KV,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622KW,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622KX,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622KZ,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622LA,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622MA,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622MB,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622NA,5622,424,Mensfort,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622NB,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622NC,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622ND,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622NE,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622NG,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622NH,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622NJ,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622PA,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622PB,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622PC,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622PD,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622PE,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622PG,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622PH,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622PJ,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622PK,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622PL,5622,423,Barrier,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622PM,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622PN,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5622PP,5622,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623AA,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623AC,5623,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623AD,5623,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623AE,5623,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623AG,5623,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623AH,5623,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623AJ,5623,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623AK,5623,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623AL,5623,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623AM,5623,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623AP,5623,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623AT,5623,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623AV,5623,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623AW,5623,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623AX,5623,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623AZ,5623,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623BA,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623BB,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623BD,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623BE,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623BG,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623BH,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623BJ,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623BK,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623BL,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623BM,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623BN,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623BP,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623BR,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623BS,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623BT,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623BV,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623BW,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623BX,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623BZ,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623CA,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623CB,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623CC,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623CD,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623CE,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623CG,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623CH,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623CJ,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623CK,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623CL,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623CM,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623CN,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623CP,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623CR,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623CS,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623CT,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623CV,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623CW,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623CX,5623,425,Rapenland,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623DA,5623,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623DB,5623,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623DC,5623,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623DD,5623,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623DE,5623,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623DG,5623,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623DH,5623,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623DJ,5623,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623DK,5623,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623DL,5623,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623DM,5623,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623DN,5623,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623DP,5623,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623DR,5623,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
5623DS,5623,422,Kronehoef,42,Wijk Erp,4,Stadsdeel Woensel-Zuid
